,Unnamed: 0,score_train,score,time_train,time_test,samples,subject,session,channels,n_sessions,dataset,pipeline
3,3,0.94905084,0.9442177,0.026380872,0.0040593147,144.0,8,session_T,3,2,001-2014,CSP+LDA(3 elect)
4,4,1.0,0.96489793,0.48806295,0.024263334,144.0,8,session_E,3,2,001-2014,ACM+TGSP+SVM(3 elect)
5,5,1.0,0.95462584,0.8690504,0.040442944,144.0,8,session_T,3,2,001-2014,ACM+TGSP+SVM(3 elect)
12,12,0.9499666,0.9346939,0.21205053,0.016027832,144.0,8,session_E,3,2,001-2014,FgMDM(3 elect)
13,13,0.95278597,0.9452381,0.20974211,0.015749693,144.0,8,session_T,3,2,001-2014,FgMDM(3 elect)
0,0,0.9572647,0.9489796,0.069308,0.0038020134,144.0,9,session_E,3,2,001-2014,Cov+EN(3 elect)
1,1,0.84824353,0.8287755,0.07080345,0.0038891316,144.0,9,session_T,3,2,001-2014,Cov+EN(3 elect)
2,2,0.9531677,0.9452381,0.014473295,0.002358532,144.0,9,session_E,3,2,001-2014,CSP+LDA(3 elect)
3,3,0.8436615,0.8414966,0.014633274,0.0023966313,144.0,9,session_T,3,2,001-2014,CSP+LDA(3 elect)
4,4,1.0,0.97795916,0.56372154,0.033740662,144.0,9,session_E,3,2,001-2014,ACM+TGSP+SVM(3 elect)
5,5,1.0,0.91414964,0.60713845,0.037535477,144.0,9,session_T,3,2,001-2014,ACM+TGSP+SVM(3 elect)
12,12,0.9584736,0.95088434,0.10586691,0.0077890395,144.0,9,session_E,3,2,001-2014,FgMDM(3 elect)
13,13,0.8489559,0.8289796,0.10757451,0.007866859,144.0,9,session_T,3,2,001-2014,FgMDM(3 elect)
